,label,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,entropy
0,9,4245.0,353.7644987106323,75,88,0.8522727272727273,1.5547703180212014,29.48158316795877,9.725844444444444,11.541733333333333,6.088188888888889,20.80873093621527,24.505210160199717,13.222194743346797,443.39035579393226,0.9628041305129211,2.2584453822812267
0,9,8891.5,421.5462421178818,125,121,1.0330578512396693,1.7010628127987404,19.98551810647335,13.390866666666666,15.767677777777777,7.641988888888889,24.935570775812522,29.25192707320618,14.481794518938784,346.9673228300951,0.9736156755368581,2.5537937211869535
0,9,4886.0,333.3624777793884,84,91,0.9230769230769231,1.5644699140401146,22.744687186085397,10.130722222222222,11.900622222222223,6.273077777777778,22.77354728945541,26.494812734478078,14.221008546612982,285.9604467697975,0.9727135583864808,2.0753714852992795
0,9,9039.5,386.09040129184723,98,133,0.7368421052631579,1.4418939100613972,16.49049150613415,12.389666666666667,14.562111111111111,6.9711,24.13129097941785,28.169790516889403,13.716031103582567,232.33783117638504,0.9816123685376212,2.2807364716628404
0,9,283.5,73.01219236850739,20,27,0.7407407407407407,1.9047619047619047,18.803457617128494,15.29561111111111,17.843855555555557,9.53341111111111,25.185856760047976,29.143991700619917,16.023514503097864,402.5791377986078,0.9743265939245999,3.102906341070402
0,9,10037.0,392.1909054517746,106,127,0.8346456692913385,1.341237421540301,15.324669355293693,14.283333333333333,16.983166666666666,8.251344444444445,25.986483879979694,30.652980550655897,15.17339240517288,240.7051282051282,0.981768354066417,2.4879916598684497
0,9,27195.0,952.489453792572,257,231,1.1125541125541125,2.183011583011583,33.360403000039426,17.88383333333333,21.011666666666667,7.638533333333333,27.768685896467385,32.12130683483749,13.160050982001888,253.43542070744923,0.9843393563476627,3.3568454201767643
0,9,6854.0,397.5046125650406,97,112,0.8660714285714286,1.5850598190837468,23.053679166980306,8.939688888888888,10.675533333333334,5.361133333333333,19.481674189774942,23.103497312071365,11.936173053370162,537.560058053042,0.9552226933677177,2.1502553469774726
0,9,11507.5,496.1147850751877,130,141,0.9219858156028369,1.5928742124701283,21.388649139274357,16.131444444444444,19.51832222222222,9.210955555555556,26.17911572486364,31.563397540445052,15.287255693631513,318.01786881578505,0.9788478625593064,2.94214220214599
0,9,14119.0,844.6072062253952,161,269,0.5985130111524164,3.0674268715914725,50.52491910247661,8.91848888888889,10.094188888888889,3.976,21.07211375636027,23.43224619592717,9.743801539668409,246.93666116710102,0.9767628986275072,1.9538247256539205
0,9,13051.5,443.4041084051132,124,137,0.9051094890510949,1.3016128414358503,15.06395459146714,18.520977777777777,22.37511111111111,8.697622222222222,27.583407732821225,33.06006423481171,13.358607333915028,261.59146817895396,0.9838496774606613,3.2339642264791215
0,9,11389.5,737.854898929596,133,192,0.6927083333333334,2.242065059923614,47.80103181653315,10.37888888888889,12.561288888888889,6.447511111111111,21.08605012506001,25.355800110184937,13.36017050892893,320.7509658542224,0.9748196658788015,2.312657508077907
0,9,3580.5,246.4091603755951,68,72,0.9444444444444444,1.3674067867616255,16.957819946098518,9.215233333333334,11.012411111111112,5.633922222222222,21.18138483435659,25.153388801243924,13.092527060823478,317.2533419182485,0.9696598153678693,2.034630850116844
0,9,17.5,18.727921843528748,7,7,1.0,2.8,20.04200323298978,12.304488888888889,14.86661111111111,7.0672,25.027396940705884,30.138218569043392,14.58569145673633,293.15494038098007,0.9743734428526633,2.4353756694929993
0,9,26937.5,882.3056901693344,262,253,1.0355731225296443,2.4607331786542925,28.898870752860716,18.03941111111111,21.310377777777777,7.057833333333333,28.10550266580647,32.6662877371144,12.077739844441094,226.94359186884563,0.9857176895369807,3.2572266366747566
0,9,6076.0,304.4507917165756,80,94,0.851063829787234,1.237656352863726,15.25514887703254,8.622588888888888,10.244077777777777,4.969255555555556,19.90590182633976,23.423715272123385,11.704268893642666,245.29331135371342,0.9772986311400008,1.9136079241677884
0,9,24264.0,746.0386649370193,271,165,1.6424242424242423,1.8428536102868447,22.93824965302548,26.906522222222222,32.193466666666666,14.549344444444445,31.924462332800456,37.88345715750405,17.729920367472428,311.7247670234859,0.9818745724983478,4.1165633318628725
0,9,4297.0,353.3624781370163,101,82,1.2317073170731707,1.927391203164999,29.058655097773634,7.3793,8.813311111111112,4.904166666666667,18.973952565410414,22.51607703478879,12.659652635878723,307.4165374175531,0.9659992747607492,1.6759408984453992
0,9,25452.0,756.1807998418808,130,268,0.48507462686567165,1.3688511708313689,22.4661874135434,16.41752222222222,19.559722222222224,7.918533333333333,26.666548284623808,31.246338273122422,13.174774164794377,196.60520128410195,0.987379991064349,3.0884822617437426
0,9,7950.0,417.3036026954651,119,112,1.0625,1.6764779874213835,21.90469142422825,14.18308888888889,16.628833333333333,8.178711111111111,24.904975197134338,29.0988190248142,14.668270219342643,384.19527522063515,0.9733148681465958,2.947549314643781
0,9,4388.0,289.76449942588806,69,92,0.75,1.446672743846855,19.13479150581939,7.3138555555555556,8.441511111111112,4.5549333333333335,19.09862633865536,21.919714139075023,12.081856189988175,311.15075142709065,0.9653767902036434,1.764002258720474
0,9,24551.5,796.7665865421295,145,273,0.5311355311355311,1.6123251125185833,25.857360789768315,15.033788888888889,18.12001111111111,8.860322222222223,25.090531248082165,29.96388803580234,15.087410907646575,245.03554995656276,0.9838306751735048,2.8974229920580097
0,9,31824.0,829.293497800827,255,224,1.1383928571428572,1.794871794871795,21.610347709110428,20.78342222222222,24.898833333333332,8.048,28.6478404200533,33.71169890532563,12.181432428084968,204.06576656487812,0.9882741858743731,3.6369299470262324
0,9,28929.5,817.3940056562424,171,268,0.6380597014925373,1.5841269292590607,23.095212861707157,17.219255555555556,20.598488888888888,9.477166666666667,26.38102441573451,31.26845748149561,14.978647423545587,306.3292921592972,0.9811949234300942,3.2290908653000074
0,9,51.5,36.38477575778961,15,9,1.6666666666666667,2.621359223300971,25.705862270769607,6.8363555555555555,7.9926111111111116,4.294833333333333,18.666186257098456,21.563267657546422,11.866576590248016,443.26420172406716,0.9475763511626679,1.6989181807134035
0,9,11821.0,459.10259330272675,114,145,0.7862068965517242,1.3983588528889266,17.830571963225523,14.183411111111111,16.952188888888887,8.448333333333334,25.67840931227566,30.525951667536354,15.502553105142965,350.3221672949221,0.9737783596299214,2.705069511918056
0,9,21294.5,723.5117540359497,134,265,0.5056603773584906,1.6675667425861138,24.582369073149245,14.214566666666666,16.79008888888889,7.2607888888888885,25.719519501106113,30.078608928991542,13.494055491210805,191.66040288512806,0.985944939412323,2.5736545484079287
0,9,0.0,2.0,2,1,2.0,0.0,0.0,15.261555555555555,17.669255555555555,8.313466666666667,27.272858910202327,31.294464851386923,15.277526878974154,526.1105361983275,0.9617605783338466,3.2319854545021345
0,9,9623.0,416.33304035663605,111,124,0.8951612903225806,1.4303231840382418,18.012387040694204,13.09681111111111,15.586211111111112,8.319977777777778,24.10857880616794,28.55952207194046,15.511679929064046,403.4322183197056,0.9702427497311196,2.626967269873464
0,9,30444.5,838.3056925535202,258,245,1.0530612244897959,2.0762370871586002,23.083198415728198,20.44996666666667,24.217144444444443,10.251911111111111,28.8708158488233,33.83491939568452,14.776376292841704,218.7910938356394,0.9868888729229421,3.432532602292294
0,9,4327.5,300.1492750644684,81,83,0.9759036144578314,1.5535528596187176,20.817928901611996,6.657022222222222,7.848244444444444,4.4424777777777775,18.408061930081843,21.488929274453604,12.324553725278816,337.39827843089006,0.9585964973788456,1.560476134815275
0,9,4852.0,283.62236416339874,97,70,1.3857142857142857,1.3994229183841715,16.57906954938903,10.689077777777777,12.877066666666666,6.111166666666667,23.2952976808281,27.756230104568917,13.58563734140663,392.73944185933794,0.9642621934285293,2.353623318756658
