,label,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,9,4731.5,289.0365780591965,75,88,0.8522727272727273,1.3949064778611433,17.656587436578246,10.813888888888888,12.858433333333334,6.945077777777778,21.764148052062566,25.67968702195483,14.463592422760275,387.3303723392356,0.9700582442148458,0.8270783722662217,2.8425849126515326
0,9,8901.5,426.7178165912628,125,121,1.0330578512396693,1.6991518283435376,20.45588889472725,13.61908888888889,16.084,7.870911111111111,25.21570886158267,29.6736540385575,14.943225237652342,354.4260940966358,0.9731220230301777,0.8298218867354754,2.90278031305622
0,9,4942.5,341.4629831314087,84,91,0.9230769230769231,1.5465857359635813,23.59068666646448,10.316633333333334,12.143666666666666,6.4409777777777775,23.06212476958222,26.891960465289,14.631709277363461,300.8226030469458,0.9714215237755253,0.8654995785981263,2.3389853185369156
0,9,9126.5,387.1198375225067,98,132,0.7424242424242424,1.4174108365748097,16.420508256555305,12.527533333333333,14.733822222222223,7.1197333333333335,24.37807115066052,28.472610512396248,14.053282634949666,233.8269450379004,0.9814331226846813,0.8654465903423634,2.536082649691208
0,9,310.5,77.35533857345581,21,27,0.7777777777777778,1.826086956521739,19.271653480882385,15.972422222222223,18.640944444444443,10.102155555555555,25.63612978936727,29.667083540090207,16.636621846537576,350.00847425271155,0.9780980058923108,0.7962053658093448,3.55718371531388
0,9,9988.0,396.33304047584534,107,127,0.84251968503937,1.3605326391670003,15.726860129438133,14.50761111111111,17.283133333333332,8.482222222222223,26.230800128938515,30.99884356201409,15.56951064511647,235.4269977591601,0.9822123499525205,0.8450516900622531,2.8087405641306757
0,9,27687.0,885.7199029922485,257,230,1.117391304347826,2.1349369740311337,28.334588310636693,18.16261111111111,21.355933333333333,7.869222222222223,27.905400748956758,32.3041617600237,13.410942773039052,230.28167949277224,0.9859135019631707,0.8360096199005248,3.584884397297903
0,9,1.5,8.242640614509583,4,3,1.3333333333333333,8.0,45.294082866641936,10.081544444444445,12.060622222222221,6.248888888888889,20.523171875636415,24.395091319807115,13.11526120758599,565.0925103746043,0.956716962107142,0.8446692326185122,2.651388519172903
0,9,11597.0,499.04371643066406,129,141,0.9148936170212766,1.5684228679830992,21.474918591784864,16.316555555555556,19.75438888888889,9.404722222222222,26.455842314699545,31.90302384943556,15.699923918094337,320.8612182376782,0.9785970105230625,0.8009922801773612,3.362060293836479
0,9,14048.0,843.9209153652191,161,269,0.5985130111524164,3.0829299544419135,50.69778697258466,8.975388888888888,10.18431111111111,4.065244444444445,21.206203622312685,23.64592909461699,10.020272165644018,232.56694488875962,0.9780826449767958,0.8980615563717937,2.0826493552187015
0,9,13019.0,442.81832253932953,124,137,0.9051094890510949,1.304862124587142,15.06168421357598,18.63898888888889,22.516533333333335,8.858733333333333,27.811173491560087,33.33159852125641,13.769267686328778,262.33041873133413,0.9837121010066878,0.7950349786733794,3.6470417358487257
0,9,11538.0,743.7543929815292,135,192,0.703125,2.2464898595943836,47.94336948165393,10.660388888888889,12.896544444444444,6.6737,21.459598418731183,25.78639730239402,13.821769684048745,320.236068146143,0.9751077816240616,0.8437613612091108,2.653722544747645
0,9,3622.5,243.09545254707336,68,72,0.9444444444444444,1.351552795031056,16.31342968918327,9.630933333333333,11.537422222222222,5.975433333333333,21.661380658161605,25.794188398413304,13.702071491039431,322.254099227078,0.9700135422442373,0.8657171577866053,2.347316753215678
0,9,24.5,23.899494647979736,9,7,1.2857142857142858,2.5714285714285716,23.31370793586988,12.418288888888888,15.041511111111111,7.194811111111111,25.22935659911747,30.471596412704823,14.963539159789146,300.8505724208901,0.9736645978974016,0.8482966644301889,2.6690652796054826
0,9,26845.0,887.3767577409744,263,254,1.0354330708661417,2.488433600298007,29.33274390683122,18.115188888888888,21.398777777777777,7.204266666666666,28.288528659902035,32.88318581915815,12.391798704340259,227.205825494122,0.9856053933572972,0.8370608384511061,3.4353749800579103
0,9,6065.5,304.6934320926666,80,95,0.8421052631578947,1.2529882120187947,15.305924913100064,8.65841111111111,10.339022222222223,5.049788888888889,20.0410604988827,23.70317506954045,12.026779330583196,251.35586619090765,0.9766022457014908,0.8749402475809198,2.174876947643833
